migration_rate,biotic_coeff,abiotic_coeff,fixed_interaction_mat,selection_coeff,correlated_div,modular_div,div_diff
0.1,5.0,0.0,2,0.5,0.06677823407097078,0.0657687865279168,0.0010094475430539734
0.1,5.0,0.5,10,0.01,2.348259272617377,2.3325240043748012,0.015735268242575984
0.1,5.0,1.0,3,0.5,1.3747871259305817,1.4732629172343836,-0.09847579130380191
0.1,0.0,0.1,2,0.12,2.5937779323524834,2.586816118780212,0.006961813572271325
0.1,0.1,1.0,4,0.5,1.3746332559650092,1.305136241337925,0.06949701462708413
0.1,0.1,5.0,5,0.5,2.4769979569476437,2.3725583781452366,0.10443957880240706
0.1,0.0,0.5,9,0.01,2.594384076387081,2.5933158472761475,0.0010682291109334052
0.1,2.0,0.0,3,0.01,2.4156741420862384,2.368730458850239,0.04694368323599951
0.1,2.0,1.0,9,0.01,2.2984335410453633,2.5933178185902444,-0.294884277544881
0.1,1.0,0.1,8,0.12,2.4436100340173694,2.30386195993863,0.13974807407873957
0.1,1.0,0.5,10,0.01,2.5328123001456335,2.5287752701346586,0.004037030010974885
0.1,5.0,2.0,4,0.5,2.1136989639445907,2.245303516164154,-0.13160455221956324
0.1,0.1,0.0,2,0.12,2.4220270770743957,2.435802792146665,-0.013775715072269268
0.1,0.5,5.0,10,0.12,2.3068546418418863,2.490660300697661,-0.18380565885577482
0.1,5.0,1.0,9,0.5,1.3637569229957391,1.2444645512237342,0.11929237177200491
0.1,5.0,0.0,3,0.5,0.06698664959954606,0.06689940151116136,8.724808838470044e-5
0.1,5.0,5.0,1,0.12,2.429794461471984,2.382514235961221,0.04728022551076316
0.1,1.0,1.0,3,0.5,1.7989071990785455,1.1312672959605952,0.6676399031179503
0.1,0.0,2.0,1,0.12,2.5944088481722365,2.586094728377457,0.008314119794779362
0.1,0.5,1.0,5,0.12,2.360855210078866,2.582075651006431,-0.22122044092756532
0.1,0.5,0.5,10,0.5,0.2463468017695677,0.06958697821456893,0.17675982355499875
0.1,0.5,2.0,3,0.01,2.4706706720334437,2.3221443926111305,0.14852627942231322
0.1,0.1,0.0,4,0.5,0.0723520781385012,0.06692032612507953,0.005431752013421665
0.1,5.0,2.0,3,0.12,1.9958767604906524,2.276370443158138,-0.28049368266748576
0.1,0.0,0.0,6,0.12,2.588509570126399,2.58707748425993,0.001432085866469368
0.1,0.5,1.0,3,0.01,2.4857618056220065,2.306241873418458,0.17951993220354856
