migration_rate,biotic_coeff,fixed_interaction_mat,abiotic_coeff,selection_coeff,diversity_index
0.0,0.0,5,1.0,0.01,2.5901990892131947
0.0,1.0,4,1.0,0.01,2.2117159333051593
0.0,0.5,1,0.1,0.01,2.5164100921606916
0.0,1.0,9,0.0,0.01,2.386079437639573
0.0,5.0,8,2.0,0.5,2.082687196178967
0.0,0.0,4,0.5,0.12,2.589888583776808
0.0,0.1,10,2.0,0.5,2.0382816161834456
0.0,2.0,5,0.5,0.5,0.42802983100094494
0.0,5.0,7,0.0,0.5,0.06814966280251337
0.0,1.0,7,1.0,0.5,1.5093835332941403
0.0,0.5,2,0.0,0.12,2.2176703153372763
0.0,1.0,8,2.0,0.5,2.3119851749939375
0.0,0.5,7,2.0,0.01,2.4515842013573548
0.0,1.0,1,0.1,0.12,2.4397986474649316
0.0,0.1,8,2.0,0.12,2.4974513511044627
0.0,0.1,2,0.5,0.5,0.3291571899885096
0.0,0.5,4,2.0,0.12,2.496809020900593
0.0,0.5,3,0.0,0.12,2.1918629700331325
0.0,0.0,2,0.0,0.5,2.5472788814174034
0.0,0.1,6,1.0,0.01,2.612366784442693
0.0,1.0,5,0.5,0.01,2.4951530880442654
0.0,0.1,3,5.0,0.12,2.5683046095151543
0.0,0.1,1,2.0,0.01,2.6713365170917274
0.0,5.0,2,5.0,0.12,2.3444766348009134
0.0,0.0,6,0.5,0.5,2.5714355945732232
0.0,0.5,7,0.0,0.01,2.5802991112536255
0.0,5.0,2,0.1,0.01,2.0657416892600535
0.0,5.0,8,1.0,0.12,2.5225072649268356
0.0,0.5,4,0.0,0.12,2.366324499603243
0.0,0.0,2,1.0,0.12,2.5891819787245143
0.0,0.1,9,0.1,0.01,2.620501921588947
0.0,0.0,10,0.1,0.12,2.5951964051025374
0.0,5.0,1,2.0,0.01,2.4079499742173414
0.0,0.5,8,0.0,0.01,2.4906859078871575
0.0,5.0,3,0.5,0.5,0.3503965416959673
0.0,0.1,4,5.0,0.12,2.6404865335460803
0.0,1.0,10,0.0,0.5,0.06734915871657504
0.0,5.0,6,0.0,0.01,2.419798420855587
0.0,1.0,6,1.0,0.01,2.379789816732651
0.0,0.0,4,0.0,0.5,2.563406612069683
0.0,5.0,9,0.5,0.5,0.0658092498868047
0.0,1.0,8,0.0,0.12,2.383285082529987
0.0,2.0,6,1.0,0.12,2.2700127599567024
0.0,0.1,7,0.1,0.5,0.06944848356876
0.0,0.5,1,2.0,0.5,2.2396020839710147
0.0,0.0,4,2.0,0.12,2.5938421053446348
0.0,5.0,1,0.0,0.01,2.4137696782824802
0.0,1.0,1,1.0,0.01,2.4811034112836556
0.0,1.0,9,0.5,0.5,0.06744757210533173
0.0,0.5,6,0.0,0.5,0.07260064869611725
0.0,2.0,1,1.0,0.12,2.20698454938979
0.0,0.1,8,0.1,0.5,0.06700902404333059
0.0,2.0,7,0.5,0.5,0.2263999613001737
0.0,1.0,4,0.1,0.01,2.465919485553387
0.0,5.0,5,2.0,0.01,2.3677171425151053
0.0,0.1,4,0.5,0.12,2.3619284027975818
0.0,0.5,1,0.0,0.5,0.06632679665686536
0.0,0.5,9,0.5,0.01,2.4294283973259265
0.0,0.5,8,5.0,0.5,2.1589605024819774
0.0,5.0,7,0.5,0.01,2.5721457186385566
0.0,0.0,8,0.0,0.01,2.5888489567279045
0.0,5.0,8,0.1,0.5,0.06604885024730388
0.0,0.1,1,5.0,0.5,2.474420056867754
0.0,0.5,3,0.1,0.12,2.451950306840201
0.0,0.5,4,0.5,0.01,2.409198268178383
0.0,5.0,2,2.0,0.5,1.8033292707349249
0.0,5.0,8,0.5,0.01,2.516183968865381
0.0,5.0,5,0.0,0.01,2.4399850763063546
0.0,0.5,9,0.1,0.12,2.437956363259353
0.0,0.0,2,0.5,0.01,2.593852851096543
0.0,5.0,1,5.0,0.5,2.446474060689491
0.0,1.0,4,0.5,0.12,2.5294559667738814
0.0,2.0,10,0.5,0.5,0.48862934351974313
0.0,0.0,10,0.0,0.01,2.5942459181871196
0.0,0.1,6,0.5,0.5,0.3296340631306421
0.0,0.1,2,2.0,0.12,2.592641084703989
0.0,2.0,2,0.0,0.01,2.472617689356389
0.0,0.1,4,2.0,0.5,2.261825272563728
0.0,0.0,6,0.0,0.5,2.5726203191009342
0.0,2.0,5,0.0,0.12,2.382922677863015
0.0,0.1,1,5.0,0.12,2.535839513110159
0.0,1.0,2,1.0,0.5,1.3636106817720073
0.0,0.1,1,0.1,0.01,2.6272280228163103
0.0,0.5,2,2.0,0.01,2.379716590637828
0.0,0.1,1,0.5,0.5,0.35193054850269445
0.0,2.0,1,0.1,0.5,0.07290409778104799
0.0,0.1,4,1.0,0.5,1.277163378213131
0.0,0.0,1,0.0,0.5,2.527415418278676
0.0,0.5,1,5.0,0.01,2.5300577688172496
0.0,0.5,10,0.1,0.01,2.5776362919071745
0.0,0.5,5,1.0,0.12,2.465856855200138
0.0,2.0,10,0.5,0.12,2.1482987777124003
0.0,1.0,2,2.0,0.12,2.4829533141820077
0.0,2.0,4,1.0,0.01,2.1226663102284133
0.0,2.0,7,2.0,0.5,1.9756796910636591
0.0,1.0,4,2.0,0.5,2.302648592349659
0.0,0.1,7,1.0,0.01,2.6470451425928765
0.0,0.0,1,1.0,0.12,2.5918140934135407
0.0,1.0,1,5.0,0.12,2.356777531702106
0.0,0.0,10,5.0,0.5,2.5923333481051953
0.0,1.0,3,2.0,0.12,2.3180587000097863
0.0,5.0,4,0.0,0.5,0.07233423190508606
0.0,2.0,8,2.0,0.5,2.152326295731293
0.0,5.0,6,0.5,0.12,2.2684761070233392
0.0,0.5,3,0.0,0.01,2.335141695421046
0.0,2.0,8,1.0,0.5,1.3367398746718988
